"original_neurosynth_functional_term","new_neurosynth_functional_term","new_neuroquery_functional_term"
"abuse","abuse","abuse"
"acoustic","acoustic","acoustic"
"act","action","action"
"action","action","action"
"actions","action","action"
"acts","action","action"
"adaptation","adaptation","adaptation"
"addiction","addiction","addiction"
"adhd","adhd","adhd"
"affect","affect","affect"
"affective","affect","affect"
"alzheimer","alzheimer","alzheimer"
"alzheimer.disease","alzheimer","alzheimer"
"amnestic","amnestic","amnestic"
"anger","anger","anger"
"angry","anger","anger"
"anticipation","anticipation","anticipation"
"anticipatory","anticipation","anticipation"
"anxiety","anxiety","anxiety"
"anxiety.disorders","anxiety","anxiety"
"aphasia","aphasia","aphasia"
"appraisal","appraisal","appraisal"
"arithmetic","arithmetic","arithmetic"
"arm","arm","arm"
"arousal","arousal","arousal"
"articulatory","speech","speech"
"attend","attention","attention"
"attended","attention","attention"
"attending","attention","attention"
"attention","attention","attention"
"attention.deficit","adhd","adhd"
"attention.network","attention","attention"
"attention.task","attention","attention"
"attentional","attention","attention"
"attentional.control","attention","attention"
"audiovisual","audiovisual","audiovisual"
"auditory","auditory","auditory"
"auditory.stimuli","auditory","auditory"
"auditory.visual","audiovisual","audiovisual"
"autism","autism","autism"
"autism.spectrum","autism","autism"
"autobiographical","autobiographical","autobiographical"
"autobiographical.memory","autobiographical","autobiographical"
"autonomic","autonomic","autonomic"
"aversive","aversive","aversive"
"avoid","avoidance","avoidance"
"avoidance","avoidance","avoidance"
"awareness","awareness","awareness"
"balance","balance","balance"
"belief","belief","belief"
"beliefs","belief","belief"
"bilinguals","bilingual","lingual"
"bipolar","bipolar","bipolar"
"bipolar.disorder","bipolar","bipolar"
"blind","blind","blind"
"bodily","body","body"
"body","body","body"
"calculation","calculation","calculation"
"categorical","categorization","categorization"
"categories","categorization","categorization"
"categorization","categorization","categorization"
"category","categorization","categorization"
"character","character","character"
"characters","character","character"
"choice","choice","choice"
"choices","choice","choice"
"choose","choice","choice"
"chosen","choice","choice"
"chronic.pain","pain","pain"
"cognition","cognition","cognition"
"cognitive","cognition","cognition"
"cognitive.control","cognition","cognition"
"cognitive.deficits","cognition","cognition"
"cognitive.function","cognition","cognition"
"cognitive.functions","cognition","cognition"
"cognitive.impairment","cognition","cognition"
"cognitive.performance","cognition","cognition"
"cognitive.processes","cognition","cognition"
"cognitive.task","cognition","cognition"
"cognitive.tasks","cognition","cognition"
"cognitively","cognition","cognition"
"color","color","color"
"communication","communication","communication"
"competing","competition","competition"
"competition","competition","competition"
"complex","complexity","complexity"
"complexity","complexity","complexity"
"comprehension","comprehension","comprehension"
"compulsive","compulsive","compulsive"
"compulsive.disorder","compulsive","compulsive"
"computation","computation","computation"
"concentration","concentration","concentration"
"concept","concept","concept"
"concepts","concept","concept"
"conceptual","concept","concept"
"conditioning","condition","condition"
"confidence","confidence","confidence"
"conflict","conflict","conflict"
"conflicting","conflict","conflict"
"conscious","consciousness","consciousness"
"consciousness","consciousness","consciousness"
"consolidation","consolidation","consolidation"
"construction","construction","construction"
"consumption","consumption","consumption"
"context","context","context"
"contexts","context","context"
"contextual","context","context"
"control","control","control"
"control.network","control","control"
"control.processes","control","control"
"control.task","control","control"
"controlled","control","control"
"controlling","control","control"
"controls","control","control"
"coordination","coordination","coordination"
"covert","covert","covert"
"cue","cue","cue"
"cued","cue","cue"
"cues","cue","cue"
"damage","damage","damage"
"decision","decision","decision"
"decision.making","decision","decision"
"decision.task","decision","decision"
"decisions","decision","decision"
"decoding","decode","decoding"
"default","default","default"
"default.mode","default","default"
"deficient","deficit","deficit"
"deficit","deficit","deficit"
"deficit.hyperactivity","deficit","deficit"
"deficits","deficit","deficit"
"delay","delay","delay"
"delayed","delay","delay"
"demand","demand","demand"
"demanding","demand","demand"
"demands","demand","demand"
"dementia","dementia","dementia"
"depressed","depression","depression"
"depression","depression","depression"
"depressive","depression","depression"
"depressive.disorder","depression","depression"
"deprivation","deprivation","deprivation"
"depth","depth","depth"
"detect","detection","detection"
"detected","detection","detection"
"detecting","detection","detection"
"detection","detection","detection"
"detection.task","detection","detection"
"development","development","development"
"developmental","development","development"
"diagnosis","diagnosis","diagnosis"
"digit","digit","digit"
"disability","disability","disability"
"discriminate","discriminate","discriminate"
"discriminated","discriminate","discriminate"
"discrimination","discriminate","discriminate"
"discrimination.task","discriminate","discriminate"
"discriminative","discriminate","discriminate"
"disgust","disgust","disgust"
"disorder.ocd","ocd","ocd"
"disorder.ptsd","stress","stress"
"distraction","distraction","distraction"
"distractor","distraction","distraction"
"distractors","distraction","distraction"
"dominance","dominance","dominance"
"dominant","dominance","dominance"
"dyslexia","dyslexia","dyslexia"
"early.visual","vision","vision"
"eating","eat","eating"
"economic","economic","economic"
"efficiency","efficiency","efficiency"
"effort","effort","effort"
"effortful","effort","effort"
"emotion.regulation","emotion","emotion"
"emotional","emotion","emotion"
"emotional.faces","emotion","emotion"
"emotional.information","emotion","emotion"
"emotional.responses","emotion","emotion"
"emotional.stimuli","emotion","emotion"
"emotional.valence","emotion","emotion"
"emotionally","emotion","emotion"
"emotions","emotion","emotion"
"empathic","empathy","empathy"
"empathy","empathy","empathy"
"encode","encode","encode"
"encoded","encode","encode"
"encoding","encode","encode"
"encoding.retrieval","decode","decoding"
"engagement","engagement","engagement"
"english","english","english"
"epilepsy","epilepsy","epilepsy"
"episodic","episodic","episodic"
"episodic.memory","episodic","episodic"
"error","error","error"
"errors","error","error"
"evaluation","evaluation","evaluation"
"evaluations","evaluation","evaluation"
"events","events","events"
"executed","execution","execution"
"execution","execution","execution"
"expectancy","expectation","expectation"
"expectation","expectation","expectation"
"expectations","expectation","expectation"
"experience","experience","experience"
"experiences","experience","experience"
"experiencing","experience","experience"
"expertise","expertise","expertise"
"exploration","exploration","exploration"
"exploratory","exploration","exploration"
"eye","eye","eye"
"eye.movement","eye","eye"
"eyes","eye","eye"
"face","face","face"
"face.recognition","face","face"
"faces","face","face"
"facial","face","face"
"facial.expression","face","face"
"familiar","familiarity","familiarity"
"familiarity","familiarity","familiarity"
"family","family","family"
"fear","fear","fear"
"fearful","fear","fear"
"fearful.faces","fear","fear"
